Model,RMSE,MAE,MAPE,sMAPE,MASE,RMSE_improvement_vs_seasonal_naive_percent,MAE_improvement_vs_seasonal_naive_percent
Historical Mean,4379.11556750999,3766.3308505474192,6.928722209474268,6.830483784047475,1.4688131610565396,-46.08615791457637,-63.51452792268566
Naive,4456.171295526297,3833.653779289492,7.10759032562102,6.950399506914789,1.495068104581444,-48.656716986990546,-66.43733989764335
Seasonal Naive,2997.625257603578,2303.3616024187454,4.3785106722772005,4.2327118039225,0.8982768563237613,0.0,0.0
Drift,6194.979176959448,5050.352395851496,9.613197005068496,9.032317798384296,1.969562516240953,-106.66289627916873,-119.26007581910514
SARIMA,4902.544135257014,4069.505111908221,7.681367219581974,7.261896753008584,1.5870466256274012,-63.54759898094482,-76.67678004334445
SARIMAX,5130.490603108344,4258.421099976521,8.055585826341941,7.593018477645326,1.6607210585488712,-71.15183394237422,-84.87853125209607
Random Forest,2650.6017928038536,1980.4567549130804,3.780390014493647,3.672316555297518,0.7723487558446597,11.576612650947201,14.018851715101297
Gradient Boosting,2864.049939899791,2238.372606224671,4.235563705152242,4.126670484597384,0.8729321118704598,4.456037904169941,2.8214847432478622
