date,actual,forecast,lower_80,upper_80,lower_95,upper_95
2018-10-07 00:00:00+00:00,54287.05952380953,55322.91743459688,53165.99157067965,57479.843298514104,52024.18398971656,58621.650879477194
2018-10-14 00:00:00+00:00,55848.94047619047,57816.42395569149,55539.90304802094,60092.94486336204,54334.785675150975,61298.06223623201
2018-10-21 00:00:00+00:00,55762.125,58321.542905573275,55828.099104250294,60814.986706896256,54508.14968796138,62134.93612318517
2018-10-28 00:00:00+00:00,58684.71428571428,59487.21072301024,56815.8008518153,62158.62059420518,55401.64188890573,63572.77955711475
2018-11-04 00:00:00+00:00,55917.58928571428,55312.150853087915,52469.89413656129,58154.40756961454,50965.294316853295,59659.007389322534
2018-11-11 00:00:00+00:00,58163.47023809524,60533.6955283481,57531.067380828645,63536.323675867556,55941.57205370392,65125.81900299228
2018-11-18 00:00:00+00:00,59696.083333333336,61493.85980371294,58338.853287411825,64648.86632001406,56668.693724413126,66319.02588301276
2018-11-25 00:00:00+00:00,61553.36309523809,62653.2003130853,59352.87204341279,65953.5285827578,57605.78379109097,67700.61683507962
2018-12-02 00:00:00+00:00,62379.15476190476,63617.99492316559,60178.473787223906,67057.51605910728,58357.701282429225,68878.28856390195
2018-12-09 00:00:00+00:00,62322.69047619047,64504.33147765614,60931.03652264323,68077.62643266904,59039.448435678976,69969.2145196333
2018-12-16 00:00:00+00:00,63243.5,64453.59573475178,60751.35727706531,68155.83419243825,58791.51062297477,70115.68084652879
2018-12-23 00:00:00+00:00,59408.55952380953,59572.06992234684,55745.230228581655,63398.909616112025,53719.42366444875,65424.716180244934
2018-12-30 00:00:00+00:00,49075.583333333336,49803.68192005516,45856.17200236229,53751.19183774803,43766.48648031893,55840.8773597914
2019-01-06 00:00:00+00:00,53805.875,56674.293035591545,52609.693787722026,60738.892283461064,50458.02491841479,62890.5611527683
2019-01-13 00:00:00+00:00,62372.20238095238,61465.200851403395,57286.79211793665,65643.60958487014,55074.87614620726,67855.52555659953
2019-01-20 00:00:00+00:00,62423.494047619046,63439.16869898084,59149.96923503556,67728.36816292611,56879.40419331399,69998.93320464768
2019-01-27 00:00:00+00:00,63587.01190476191,62441.70100019585,58044.501375524094,66838.9006248676,55716.764502203834,69166.63749818786
2019-02-03 00:00:00+00:00,62088.767857142855,62747.3788301175,58244.76880515458,67249.98885508042,55861.23103659807,69633.52662363694
2019-02-10 00:00:00+00:00,62359.53571428572,62423.89283219977,57818.284345302054,67029.50131909747,55380.222484549304,69467.56317985023
2019-02-17 00:00:00+00:00,60799.00595238096,62011.13444481213,57304.78107598495,66717.48781363931,54813.38809622871,69208.88079339555
2019-02-24 00:00:00+00:00,59467.517857142855,61820.11981950612,57015.13339601253,66625.10624299973,54471.52723107654,69168.7124079357
2019-03-03 00:00:00+00:00,58481.82142857143,63994.601087309486,59092.9659491495,68896.23622546947,56498.197045177134,71491.00512944184
2019-03-10 00:00:00+00:00,58990.95238095238,60467.32207454358,55470.90740747165,65463.73674161552,52825.96525163089,68108.67889745627
2019-03-17 00:00:00+00:00,60078.91071428572,62188.84625100377,57099.416811172785,67278.27569083477,54405.235608939875,69972.45689306768
2019-03-24 00:00:00+00:00,57649.36309523809,61861.52516329421,56680.75065356063,67042.2996730278,53938.214292236175,69784.83603435225
2019-03-31 00:00:00+00:00,56771.51190476191,56698.064698933136,51427.528007248686,61968.60139061759,48637.474417098776,64758.6549807675
2019-04-07 00:00:00+00:00,56433.857142857145,56092.224642463145,50733.42911398112,61451.02017094517,47896.654117857885,64287.795167068405
2019-04-14 00:00:00+00:00,56765.97023809524,58535.18739429912,53089.56327820684,63980.8115103914,50206.824004295384,66863.55078430286
2019-04-21 00:00:00+00:00,51656.26190476191,56424.55244250096,50893.46263022593,61955.64225477599,47965.48054966716,64883.62433533475
2019-04-28 00:00:00+00:00,52336.75,56825.12256612475,51209.86771802217,62440.37741422733,48237.331358817326,65412.91377343218
