date,actual,forecast,lower_80,upper_80,lower_95,upper_95
2018-10-07 00:00:00+00:00,54287.05952380953,54757.463157609316,52738.821424374335,56776.1048908443,51670.21704032276,57844.709274895875
2018-10-14 00:00:00+00:00,55848.94047619047,58084.330847741505,55997.11733063714,60171.54436484587,54892.21323690522,61276.44845857779
2018-10-21 00:00:00+00:00,55762.125,58197.1520863156,56020.10498620647,60374.199186424725,54867.64586621433,61526.658306416866
2018-10-28 00:00:00+00:00,58684.71428571428,59063.39734155283,56697.1675534044,61429.627129701264,55444.56116780437,62682.23351530129
2018-11-04 00:00:00+00:00,55917.58928571428,55216.64066275348,52809.79193266882,57623.48939283814,51535.68317806791,58897.59814743905
2018-11-11 00:00:00+00:00,58163.47023809524,60711.36626856665,58285.281300118026,63137.45123701527,57000.98949603887,64421.74304109443
2018-11-18 00:00:00+00:00,59696.083333333336,61480.390078090466,58980.06696569207,63980.71319048886,57656.47586209758,65304.304294083355
2018-11-25 00:00:00+00:00,61553.36309523809,62199.84245904284,59627.4227695958,64772.26214848988,58265.666043523146,66134.01887456253
2018-12-02 00:00:00+00:00,62379.15476190476,63459.610316185695,60817.06032594596,66102.16030642543,59418.17886117,67501.04177120139
2018-12-09 00:00:00+00:00,62322.69047619047,64622.96745904284,61912.10083687619,67333.8340812095,60477.05473169931,68768.88018638638
2018-12-16 00:00:00+00:00,63243.5,64214.41388761427,61436.91046989568,66991.91730533286,59966.588975979146,68462.23879924939
2018-12-23 00:00:00+00:00,59408.55952380953,59450.87817332855,56608.2996559082,62293.4566907489,55103.529485097206,63798.226861559895
2018-12-30 00:00:00+00:00,49075.583333333336,49724.81269713807,46818.61586623331,52631.00952804283,45280.168194568076,54169.457199708064
2019-01-06 00:00:00+00:00,53805.875,56359.44364951903,53390.99162662526,59327.8956724128,51819.58804703733,60899.29925200073
2019-01-13 00:00:00+00:00,62372.20238095238,61553.05674475712,58523.62861316474,64582.4848763495,56919.94623144715,66186.16725806709
2019-01-20 00:00:00+00:00,62423.494047619046,63369.27698285236,60280.07608347004,66458.47788223469,58644.751909820974,68093.80205588375
2019-01-27 00:00:00+00:00,63587.01190476191,61629.24126856664,58481.40239260654,64777.08014452674,56815.03714920682,66443.44538792646
2019-02-03 00:00:00+00:00,62088.767857142855,62317.10436380474,59111.700024058046,65522.50870355144,57414.86146488389,67219.3472627256
2019-02-10 00:00:00+00:00,62359.53571428572,62745.16388761427,59483.20981474197,66007.11796048656,57756.435635125585,67733.89214010295
2019-02-17 00:00:00+00:00,60799.00595238096,62238.782935233314,58921.24291802337,65556.32295244327,57165.0433169303,67312.52255353633
2019-02-24 00:00:00+00:00,59467.517857142855,62193.97341142379,58821.76357838394,65566.18324446362,57036.62352495143,67351.32329789615
2019-03-03 00:00:00+00:00,58481.82142857143,64943.015078090466,61517.00770064485,68369.02245553609,59703.388947472435,70182.6412087085
2019-03-10 00:00:00+00:00,58990.95238095238,60679.58055428093,57200.607438177125,64158.55367038474,55358.950316629176,66000.21079193268
2019-03-17 00:00:00+00:00,60078.91071428572,62386.997220947596,58855.852741485694,65918.1417004095,56986.57776844458,67787.41667345061
2019-03-24 00:00:00+00:00,57649.36309523809,62254.61626856665,58672.060096348905,65837.1724407844,56775.569417139675,67733.66311999362
2019-03-31 00:00:00+00:00,56771.51190476191,56902.62817332855,53269.38772995618,60535.86861670092,51346.06641831397,62459.189928343134
2019-04-07 00:00:00+00:00,56433.857142857145,56035.157935233314,52351.93061240651,59718.385258060116,50402.14784519712,61668.16802526951
2019-04-14 00:00:00+00:00,56765.97023809524,57600.890078090466,53868.345248637095,61333.43490754384,51892.45537043124,63309.32478574969
2019-04-21 00:00:00+00:00,51656.26190476191,55935.282935233314,52154.06378049759,59716.502089969035,50152.40727093209,61718.15859953454
